COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
ACUSHNET HOLDINGS CORP	COM	005098108	158	8033	SH		SOLE		8033	0	0
ACXIOM CORP	COM	005125109	1123	41896	SH		SOLE		41896	0	0
ADAMAS PHARMACEUTICALS INC	COM	00548A106	143	8489	SH		SOLE		8489	0	0
ADAMIS PHARMACEUTICALS CORP	COM NEW	00547W208	16	4970	SH		SOLE		4970	0	0
ADAMS DIVERSIFIED EQUITY FD	COM	006212104	32	2485	SH		OTR		2485	0	0
ADAMS RES & ENERGY INC	COM NEW	006351308	42	1065	SH		SOLE		1065	0	0
ADCARE HEALTH SYSTEMS INC	COM NEW	00650W300	11	7324	SH		SOLE		7324	0	0
ADDUS HOMECARE CORP	COM	006739106	142	4044	SH		SOLE		4044	0	0
ADECOAGRO S A	COM	L00849106	1142	110000	SH		SOLE		110000	0	0
ADEPTUS HEALTH INC	CL A	006855100	59	7682	SH		SOLE		7682	0	0
ADIENT PLC	ORD SHS	G0084W101	3087	52685	SH		SOLE		52685	0	0
ADOBE SYS INC	COM	00724F101	35330	343177	SH		SOLE		325361	0	17816
ADOBE SYS INC	COM	00724F101	26704	259387	SH		SOLE	2	0	0	259387
ADTRAN INC	COM	00738A106	580	25937	SH		SOLE		25937	0	0
ADURO BIOTECH INC	COM	00739L101	737	64663	SH		SOLE		64663	0	0
ADVANCE AUTO PARTS INC	COM	00751Y106	665	3935	SH		OTR		0	3935	0
ADVANCE AUTO PARTS INC	COM	00751Y106	8799	52030	SH		SOLE		52030	0	0
ADVANCE AUTO PARTS INC	COM	00751Y106	4545	26877	SH		SOLE	2	0	0	26877
ADVANCED DISP SVCS INC DEL	COM	00790X101	12202	549138	SH		SOLE		549138	0	0
ADVANCED DRAIN SYS INC DEL	COM	00790R104	389	18877	SH		SOLE		18877	0	0
ADVANCED EMISSIONS SOLUTS IN	COM	00770C101	4620	499975	SH		SOLE		499975	0	0
ADVANCED ENERGY INDS	COM	007973100	1160	21181	SH		SOLE		21181	0	0
ADVANCED MICRO DEVICES INC	COM	007903107	31744	2799269	SH		SOLE		2799269	0	0
ADVANCED MICRO DEVICES INC	OPTIONS	007903107	113	10000	SH	Put	OTR		10000	0	0
ADVANCED MICRO DEVICES INC	NOTE 2.125% 9/0	007903BD8	259	164000	PRN		OTR		164000	0	0
ADVANCEPIERRE FOODS HLDGS IN	COM	00782L107	16957	569416	SH		SOLE		569416	0	0
ADVANSIX INC	COM	00773T101	118	5321	SH		SOLE		5320	0	1
ADVAXIS INC	COM NEW	007624208	132	18482	SH		SOLE		18482	0	0
ADVERUM BIOTECHNOLOGIES INC	COM	00773U108	35	12128	SH		SOLE		12128	0	0
ADVISORY BRD CO	COM	00762W107	721	21672	SH		SOLE		21672	0	0
AECOM	COM	00766T100	22898	629758	SH		SOLE		629758	0	0
AEGION CORP	COM	00770F104	3989	168299	SH		SOLE		168299	0	0
AEMETIS INC	COM NEW	00770K202	5	3787	SH		SOLE		3787	0	0
AEP INDS INC	COM	001031103	244	2104	SH		SOLE		2104	0	0
AERCAP HOLDINGS NV	SHS	N00985106	2923	70250	SH		SOLE		70250	0	0
AERIE PHARMACEUTICALS INC	COM	00771V108	607	16027	SH		SOLE		16027	0	0
AEROHIVE NETWORKS INC	COM	007786106	47	8244	SH		SOLE		8244	0	0
AEROJET ROCKETDYNE HLDGS INC	COM	007800105	5326	296705	SH		SOLE		296705	0	0
AEROVIRONMENT INC	COM	008073108	286	10673	SH		SOLE		10673	0	0
AES CORP	COM	00130H105	159956	13765610	SH		SOLE		13765610	0	0
AES CORP	COM	00130H105	4706	404959	SH		SOLE	2	0	0	404959
AETNA INC NEW	COM	00817Y108	828813	6683434	SH		SOLE		6671355	0	12079
AETNA INC NEW	COM	00817Y108	23997	193511	SH		SOLE	2	0	0	193511
AEVI GENOMIC MEDICINE INC	COM	00835P105	86	16692	SH		SOLE		16692	0	0
AFFILIATED MANAGERS GROUP	COM	008252108	6317	43479	SH		SOLE		43479	0	0
AFLAC INC	COM	001055102	1128	16212	SH		OTR		0	16212	0
AFLAC INC	COM	001055102	2593	37257	SH		SOLE		37257	0	0
AFLAC INC	COM	001055102	16540	237644	SH		SOLE	2	0	0	237644
AG MTG INVT TR INC	COM	001228105	259	15123	SH		SOLE		15123	0	0
AGCO CORP	COM	001084102	3656	63180	SH		SOLE		63180	0	0
AGCO CORP	COM	001084102	3772	65190	SH		SOLE	2	0	0	65190
AGENUS INC	COM NEW	00847G705	154	37338	SH		SOLE		37338	0	0
AGILE THERAPEUTICS INC	COM	00847L100	27	4696	SH		SOLE		4696	0	0
AGILENT TECHNOLOGIES INC	COM	00846U101	37575	824740	SH		SOLE		824740	0	0
AGILENT TECHNOLOGIES INC	COM	00846U101	9279	203660	SH		SOLE	2	0	0	203660
AGILYSYS INC	COM	00847J105	88	8526	SH		SOLE		8526	0	0
AGIOS PHARMACEUTICALS INC	COM	00847X104	8451	202518	SH		SOLE		202518	0	0
AGNC INVT CORP	COM	00123Q104	4081	225112	SH		SOLE		225112	0	0
AGNC INVT CORP	COM	00123Q104	1987	109624	SH		SOLE	2	0	0	109624
AGREE REALTY CORP	COM	008492100	1829	39707	SH		SOLE		39707	0	0
AGROFRESH SOLUTIONS	COM	00856G109	23	8518	SH		SOLE		8518	0	0
AGROFRESH SOLUTIONS	*W EXP 07/31/202	00856G117	11	62027	SH		OTR		62027	0	0
AIMMUNE THERAPEUTICS INC	COM	00900T107	265	12955	SH		SOLE		12955	0	0
AIR LEASE CORP	CL A	00912X302	1971	57419	SH		SOLE		57419	0	0
AIR METHODS CORP	COM PAR $.06	009128307	589	18481	SH		SOLE		18481	0	0
AIR PRODS & CHEMS INC	COM	009158106	158142	1099581	SH		SOLE		1088991	0	10590
AIR PRODS & CHEMS INC	COM	009158106	25583	177885	SH		SOLE	2	62114	0	115771
AIR TRANSPORT SERVICES GRP I	COM	00922R105	406	25468	SH		SOLE		25468	0	0
AIRCASTLE LTD	COM	G0129K104	547	26219	SH		SOLE		26219	0	0
AK STL HLDG CORP	COM	001547108	9931	972712	SH		SOLE		972712	0	0
AKAMAI TECHNOLOGIES INC	COM	00971T101	18690	280298	SH		SOLE		280298	0	0
AKAMAI TECHNOLOGIES INC	COM	00971T101	7263	108918	SH		SOLE	2	0	0	108918
AKEBIA THERAPEUTICS INC	COM	00972D105	193	18554	SH		SOLE		18554	0	0
AKORN INC	COM	009728106	1097	50273	SH		SOLE		50273	0	0
ALAMO GROUP INC	COM	011311107	391	5138	SH		SOLE		5138	0	0
ALARM COM HLDGS INC	COM	011642105	160	5736	SH		SOLE		5736	0	0
ALASKA AIR GROUP INC	COM	011659109	4817	54283	SH		SOLE		54283	0	0
ALBANY INTL CORP	CL A	012348108	7216	155854	SH		SOLE		155854	0	0
ALBANY MOLECULAR RESH INC	COM	012423109	4693	250181	SH		SOLE		250181	0	0
ALBEMARLE CORP	COM	012653101	8704	101116	SH		SOLE		99053	0	2063
ALBEMARLE CORP	COM	012653101	5436	63146	SH		SOLE	2	0	0	63146
ALCOA CORP	COM	013872106	383	13657	SH		OTR		0	13657	0
ALCOA CORP	COM	013872106	2368	84317	SH		SOLE		84317	0	0
ALDER BIOPHARMACEUTICALS INC	COM	014339105	5429	261025	SH		SOLE		240103	0	20922
ALDEYRA THERAPEUTICS INC	COM	01438T106	16	2978	SH		SOLE		2978	0	0
ALERE INC	COM	01449J105	27	700	SH		OTR		700	0	0
ALERE INC	COM	01449J105	1977	50740	SH		SOLE		50740	0	0
ALERE INC	OPTIONS	01449J105	4560	117000	SH	Put	SOLE		117000	0	0
ALEXANDER & BALDWIN INC NEW	COM	014491104	9039	201440	SH		SOLE		201440	0	0
ALEXANDERS INC	COM	014752109	1151	2697	SH		SOLE		2697	0	0
ALEXANDRIA REAL ESTATE EQ IN	COM	015271109	17900	161072	SH		SOLE		161072	0	0
ALEXANDRIA REAL ESTATE EQ IN	COM	015271109	5453	49066	SH		SOLE	2	0	0	49066
ALEXION PHARMACEUTICALS INC	COM	015351109	198814	1624965	SH		SOLE		1624965	0	0
ALEXION PHARMACEUTICALS INC	COM	015351109	15428	126098	SH		SOLE	2	15446	0	110652
ALIBABA GROUP HLDG LTD	OPTIONS	01609W102	281	3200	SH	Put	OTR		3200	0	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	1060	12066	SH		OTR		0	12066	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	224500	2556659	SH		SOLE		2556659	0	0
ALICO INC	COM	016230104	46	1690	SH		SOLE		1690	0	0
ALIGN TECHNOLOGY INC	COM	016255101	4468	46482	SH		SOLE		46482	0	0
ALIGN TECHNOLOGY INC	COM	016255101	5901	61382	SH		SOLE	2	0	0	61382
ALIMERA SCIENCES INC	COM	016259103	8	7469	SH		SOLE		7469	0	0
ALJ REGIONAL HLDGS INC	COM	001627108	30	6941	SH		SOLE		6941	0	0
ALKERMES PLC	SHS	G01767105	26738	481079	SH		SOLE		481079	0	0
ALKERMES PLC	SHS	G01767105	4628	83274	SH		SOLE	2	0	0	83274
ALLEGHANY CORP DEL	COM	017175100	10813	17781	SH		SOLE		17781	0	0
ALLEGHANY CORP DEL	COM	017175100	7375	12127	SH		SOLE	2	0	0	12127
ALLEGHENY TECHNOLOGIES INC	COM	01741R102	908	56987	SH		SOLE		56987	0	0
ALLEGIANCE BANCSHARES INC	COM	01748H107	154	4255	SH		SOLE		4255	0	0
ALLEGIANT TRAVEL CO	COM	01748X102	1151	6916	SH		SOLE		6916	0	0
ALLEGION PUB LTD CO	ORD SHS	G0176J109	2733	42703	SH		SOLE		42703	0	0
ALLERGAN PLC	SHS	G0177J108	201892	961343	SH		SOLE		953034	0	8309
ALLERGAN PLC	SHS	G0177J108	31876	151781	SH		SOLE	2	0	0	151781
ALLERGAN PLC	PFD CONV SER A	G0177J116	87822	115182	SH		SOLE		115182	0	0
ALLETE INC	COM NEW	018522300	13476	209945	SH		SOLE		209945	0	0
ALLIANCE DATA SYSTEMS CORP	COM	018581108	13119	57414	SH		SOLE		57414	0	0
ALLIANCE DATA SYSTEMS CORP	COM	018581108	6392	27973	SH		SOLE	2	0	0	27973
ALLIANCE HEALTHCARE SRVCS IN	COM PAR	018606301	29	3061	SH		SOLE		3061	0	0
ALLIANCE ONE INTL INC	COM NEW	018772301	91	4717	SH		SOLE		4717	0	0
ALLIANT ENERGY CORP	COM	018802108	4015	105965	SH		SOLE		105965	0	0
ALLIANT ENERGY CORP	COM	018802108	8434	222580	SH		SOLE	2	0	0	222580
ALLIED MOTION TECHNOLOGIES I	COM	019330109	89	4146	SH		SOLE		4146	0	0
ALLIED WRLD ASSUR COM HLDG A	SHS	H01531104	15023	279702	SH		SOLE		279702	0	0
ALLISON TRANSMISSION HLDGS I	COM	01973R101	16515	490192	SH		SOLE		490192	0	0
ALLISON TRANSMISSION HLDGS I	COM	01973R101	339	10070	SH		SOLE	2	0	0	10070
ALLSCRIPTS HEALTHCARE SOLUTN	COM	01988P108	1123	110011	SH		SOLE		110011	0	0
ALLSTATE CORP	COM	020002101	1927	25997	SH		OTR		0	25997	0
ALLSTATE CORP	COM	020002101	236875	3195828	SH		SOLE		3195828	0	0
ALLSTATE CORP	COM	020002101	16151	217898	SH		SOLE	2	0	0	217898
ALLY FINL INC	COM	02005N100	1717	90280	SH		OTR		0	90280	0
ALLY FINL INC	COM	02005N100	56113	2950198	SH		SOLE		2950198	0	0
ALLY FINL INC	COM	02005N100	4522	237742	SH		SOLE	2	0	0	237742
ALLY FINL INC	OPTIONS	02005N100	22130	1163500	SH	Put	SOLE		1163500	0	0
ALMOST FAMILY INC	COM	020409108	202	4590	SH		SOLE		4590	0	0
ALNYLAM PHARMACEUTICALS INC	COM	02043Q107	1644	43922	SH		SOLE		43922	0	0
ALON USA ENERGY INC	COM	020520102	182	16015	SH		SOLE		16015	0	0
ALPHA & OMEGA SEMICONDUCTOR	SHS	G6331P104	2893	136017	SH		SOLE		136017	0	0
ALPHABET INC	CAP STK CL C	02079K107	670427	868631	SH		SOLE		868631	0	0
ALPHABET INC	CAP STK CL C	02079K107	117698	152494	SH		SOLE	2	0	0	152494
ALPHABET INC	CAP STK CL A	02079K305	582066	734515	SH		SOLE		726537	0	7978
ALPHABET INC	CAP STK CL A	02079K305	118686	149771	SH		SOLE	2	2601	0	147170
ALPHATEC HOLDINGS INC	COM NEW	02081G201	6	1899	SH		SOLE		1899	0	0
ALPS ETF TR	ALERIAN MLP	00162Q866	2394	190000	SH		SOLE		190000	0	0
ALTISOURCE PORTFOLIO SOLNS S	REG SHS	L0175J104	169	6343	SH		SOLE		6343	0	0
ALTISOURCE RESIDENTIAL CORP	CL B	02153W100	313	28326	SH		SOLE		28326	0	0
ALTRA INDL MOTION CORP	COM	02208R106	496	13450	SH		SOLE		13450	0	0
ALTRIA GROUP INC	COM	02209S103	393848	5824424	SH		SOLE		5786961	0	37463
ALTRIA GROUP INC	COM	02209S103	65883	974317	SH		SOLE	2	15436	0	958881
AMAG PHARMACEUTICALS INC	COM	00163U106	656	18864	SH		SOLE		18864	0	0
AMAZON COM INC	COM	023135106	815751	1087857	SH		SOLE		1082826	0	5031
AMBAC FINL GROUP INC	COM NEW	023139884	408	18131	SH		SOLE		18131	0	0
AMBARELLA INC	SHS	G037AX101	829	15316	SH		SOLE		15316	0	0
AMBER RD INC	COM	02318Y108	59	6450	SH		SOLE		6450	0	0
AMBEV SA	SPONSORED ADR	02319V103	623	126957	SH		OTR		0	126957	0
AMBEV SA	SPONSORED ADR	02319V103	6530	1330000	SH		SOLE		1330000	0	0
AMC ENTMT HLDGS INC	CL A COM	00165C104	727	21606	SH		SOLE		21606	0	0
AMC NETWORKS INC	CL A	00164V103	14255	272361	SH		SOLE		272361	0	0
AMC NETWORKS INC	OPTIONS	00164V103	4658	89000	SH	Call	SOLE		89000	0	0
AMDOCS LTD	SHS	G02602103	77563	1331556	SH		SOLE		1316753	0	14803
AMEDISYS INC	COM	023436108	51433	1206490	SH		SOLE		1206490	0	0
AMEDISYS INC	COM	023436108	3853	90380	SH		SOLE	2	90380	0	0
AMERCO	COM	023586100	1308	3539	SH		SOLE		3539	0	0
AMERCO	COM	023586100	3184	8614	SH		SOLE	2	0	0	8614
AMEREN CORP	COM	023608102	7143	136161	SH		SOLE		136161	0	0
AMEREN CORP	COM	023608102	8845	168613	SH		SOLE	2	0	0	168613
AMERESCO INC	CL A	02361E108	61	11047	SH		SOLE		11047	0	0
AMERICA MOVIL SAB DE CV	SPON ADR L SHS	02364W105	184	14672	SH		SOLE		14672	0	0
AMERICAN AIRLS GROUP INC	COM	02376R102	55625	1191360	SH		SOLE		1191360	0	0
AMERICAN AIRLS GROUP INC	COM	02376R102	4612	98788	SH		SOLE	2	0	0	98788
AMERICAN ASSETS TR INC	COM	024013104	2943	68304	SH		SOLE		68304	0	0
AMERICAN AXLE & MFG HLDGS IN	COM	024061103	2854	147901	SH		SOLE		147901	0	0
AMERICAN CAMPUS CMNTYS INC	COM	024835100	8892	178662	SH		SOLE		178662	0	0
AMERICAN DG ENERGY INC	COM	025398108	4	13435	SH		SOLE		13435	0	0
AMERICAN EAGLE OUTFITTERS NE	COM	02553E106	3728	245732	SH		SOLE		245732	0	0
AMERICAN ELEC PWR INC	COM	025537101	23296	370015	SH		SOLE		370015	0	0
AMERICAN ELEC PWR INC	COM	025537101	15776	250574	SH		SOLE	2	0	0	250574
AMERICAN EQTY INVT LIFE HLD	COM	025676206	6962	308867	SH		SOLE		308867	0	0
AMERICAN EXPRESS CO	COM	025816109	21692	292816	SH		SOLE		292816	0	0
AMERICAN EXPRESS CO	COM	025816109	28764	388278	SH		SOLE	2	84503	0	303775
AMERICAN FINL GROUP INC OHIO	COM	025932104	4556	51700	SH		SOLE		51700	0	0
AMERICAN HOMES 4 RENT	CL A	02665T306	5524	263321	SH		SOLE		263321	0	0
AMERICAN INTL GROUP INC	COM NEW	026874784	1876	28719	SH		OTR		0	28719	0
AMERICAN INTL GROUP INC	COM NEW	026874784	414745	6350409	SH		SOLE		6350409	0	0
AMERICAN INTL GROUP INC	COM NEW	026874784	27423	419891	SH		SOLE	2	0	0	419891
AMERICAN NATL BANKSHARES INC	COM	027745108	182	5219	SH		SOLE		5219	0	0
AMERICAN NATL INS CO	COM	028591105	592	4754	SH		SOLE		4754	0	0
AMERICAN PUBLIC EDUCATION IN	COM	02913V103	206	8373	SH		SOLE		8373	0	0
AMERICAN RAILCAR INDS INC	COM	02916P103	187	4120	SH		SOLE		4120	0	0
AMERICAN RENAL ASSOCIATES HO	COM	029227105	66	3117	SH		SOLE		3117	0	0
AMERICAN RLTY INVS INC	COM	029174109	8	1631	SH		SOLE		1631	0	0
AMERICAN SOFTWARE INC	CL A	029683109	144	13921	SH		SOLE		13921	0	0
AMERICAN STS WTR CO	COM	029899101	874	19186	SH		SOLE		19186	0	0
AMERICAN SUPERCONDUCTOR CORP	SHS NEW	030111207	25	3399	SH		SOLE		3399	0	0
AMERICAN TOWER CORP NEW	COM	03027X100	26569	251412	SH		SOLE		233014	0	18398
AMERICAN TOWER CORP NEW	COM	03027X100	18477	174841	SH		SOLE	2	0	0	174841
AMERICAN TOWER CORP NEW	PFD CONV SER A	03027X308	23499	224187	SH		SOLE		224187	0	0
AMERICAN VANGUARD CORP	COM	030371108	272	14180	SH		SOLE		14180	0	0
AMERICAN WOODMARK CORP	COM	030506109	549	7296	SH		SOLE		7296	0	0
AMERICAN WTR WKS CO INC NEW	COM	030420103	54800	757330	SH		SOLE		757330	0	0
AMERICAN WTR WKS CO INC NEW	COM	030420103	9144	126368	SH		SOLE	2	0	0	126368
AMERICAS CAR MART INC	COM	03062T105	660	15097	SH		SOLE		15097	0	0
AMERIPRISE FINL INC	COM	03076C106	29882	269349	SH		SOLE		269349	0	0
AMERIPRISE FINL INC	COM	03076C106	8205	73960	SH		SOLE	2	19150	0	54810
AMERIS BANCORP	COM	03076K108	872	20005	SH		SOLE		20005	0	0
AMERISAFE INC	COM	03071H100	628	10066	SH		SOLE		10066	0	0
AMERISOURCEBERGEN CORP	COM	03073E105	36385	465346	SH		SOLE		465346	0	0
AMERISOURCEBERGEN CORP	COM	03073E105	7457	95374	SH		SOLE	2	0	0	95374
AMES NATL CORP	COM	031001100	169	5116	SH		SOLE		5116	0	0
AMETEK INC NEW	COM	031100100	12752	262388	SH		SOLE		241087	0	21301
AMGEN INC	COM	031162100	307442	2102746	SH		SOLE		2088956	0	13790
AMGEN INC	COM	031162100	55963	382760	SH		SOLE	2	13000	0	369760
AMICUS THERAPEUTICS INC	COM	03152W109	414	83321	SH		SOLE		83321	0	0
AMKOR TECHNOLOGY INC	COM	031652100	4047	383616	SH		SOLE		383616	0	0
AMN HEALTHCARE SERVICES INC	COM	001744101	969	25202	SH		SOLE		25202	0	0
AMPCO-PITTSBURGH CORP	COM	032037103	83	4972	SH		SOLE		4972	0	0
AMPHASTAR PHARMACEUTICALS IN	COM	03209R103	370	20114	SH		SOLE		20114	0	0
AMPHENOL CORP NEW	CL A	032095101	22117	329126	SH		SOLE		303948	0	25178
AMPHENOL CORP NEW	CL A	032095101	12625	187876	SH		SOLE	2	0	0	187876
AMPIO PHARMACEUTICALS INC	COM	03209T109	19	21025	SH		SOLE		21025	0	0
AMPLIFY SNACK BRANDS	COM	03211L102	135	15355	SH		SOLE		15355	0	0
AMTECH SYS INC	COM PAR $0.01N	032332504	9	2148	SH		SOLE		2148	0	0
AMTRUST FINL SVCS INC	COM	032359309	1567	57232	SH		SOLE		57232	0	0
AMYRIS INC	COM	03236M101	6	8820	SH		SOLE		8820	0	0
ANADARKO PETE CORP	COM	032511107	464341	6659124	SH		SOLE		6653436	0	5688
ANADARKO PETE CORP	COM	032511107	13512	193771	SH		SOLE	2	0	0	193771
ANALOG DEVICES INC	COM	032654105	10077	138762	SH		SOLE		138762	0	0
ANALOG DEVICES INC	COM	032654105	12770	175850	SH		SOLE	2	0	0	175850
ANALOGIC CORP	COM PAR $0.05	032657207	544	6557	SH		SOLE		6557	0	0
ANAVEX LIFE SCIENCES CORP	COM NEW	032797300	81	20526	SH		SOLE		20526	0	0
ANDERSONS INC	COM	034164103	622	13905	SH		SOLE		13905	0	0
ANGIES LIST INC	COM	034754101	164	19987	SH		SOLE		19987	0	0
ANGIODYNAMICS INC	COM	03475V101	250	14822	SH		SOLE		14822	0	0
ANHEUSER BUSCH INBEV SA/NV	SPONSORED ADR	03524A108	28848	273592	SH		SOLE		273592	0	0
ANI PHARMACEUTICALS INC	COM	00182C103	249	4111	SH		SOLE		4111	0	0
ANIKA THERAPEUTICS INC	COM	035255108	406	8291	SH		SOLE		8291	0	0
ANIXTER INTL INC	COM	035290105	4631	57137	SH		SOLE		57137	0	0
ANNALY CAP MGMT INC	COM	035710409	5902	591960	SH		SOLE		591960	0	0
ANNALY CAP MGMT INC	COM	035710409	3388	339783	SH		SOLE	2	0	0	339783
ANSYS INC	COM	03662Q105	4946	53472	SH		SOLE		53472	0	0
ANSYS INC	COM	03662Q105	2797	30236	SH		SOLE	2	0	0	30236
ANTARES PHARMA INC	COM	036642106	61	26095	SH		SOLE		26095	0	0
ANTERO MIDSTREAM PARTNERS LP	UNT LTD PARTN	03673L103	10232	331334	SH		SOLE		331334	0	0
ANTERO RES CORP	COM	03674X106	3012	127357	SH		SOLE		122917	0	4440
ANTERO RES CORP	COM	03674X106	2635	111414	SH		SOLE	2	0	0	111414
ANTHEM INC	COM	036752103	1425	9910	SH		OTR		0	9910	0
ANTHEM INC	COM	036752103	662109	4605333	SH		SOLE		4605333	0	0
ANTHEM INC	COM	036752103	21884	152214	SH		SOLE	2	9400	0	142814
ANTHEM INC	UNIT 05/01/20188	036752202	123512	2630704	SH		SOLE		2630704	0	0
ANTHERA PHARMACEUTICALS INC	COM NEW	03674U201	12	17813	SH		SOLE		17813	0	0
ANWORTH MORTGAGE ASSET CP	COM	037347101	264	51154	SH		SOLE		51154	0	0
AON PLC	SHS CL A	G0408V102	1476	13231	SH		OTR		0	13231	0
AON PLC	SHS CL A	G0408V102	1214	10881	SH		SOLE		10881	0	0
AON PLC	SHS CL A	G0408V102	17472	156653	SH		SOLE	2	0	0	156653
APACHE CORP	COM	037411105	248922	3921892	SH		SOLE		3921892	0	0
APACHE CORP	COM	037411105	9801	154416	SH		SOLE	2	0	0	154416
APARTMENT INVT & MGMT CO	CL A	03748R101	7700	169406	SH		SOLE		169406	0	0
APOGEE ENTERPRISES INC	COM	037598109	13530	252614	SH		SOLE		252614	0	0
