COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
AVALARA INC	COM	05338G106	212	2932	SH		SOLE		2932	0	0
AVALONBAY CMNTYS INC	COM	053484101	12207	60081	SH		SOLE		60081	0	0
AVANOS MED INC	COM	05350V106	432	9899	SH		SOLE		9899	0	0
AVAYA HLDGS CORP	COM	05351X101	133	11149	SH		SOLE		11149	0	0
AVEO PHARMACEUTICALS INC	COM	053588109	8	11352	SH		SOLE		11352	0	0
AVERY DENNISON CORP	COM	053611109	1090	9426	SH		SOLE		9426	0	0
AVIS BUDGET GROUP INC	COM	053774105	437	12423	SH		SOLE		12423	0	0
AVISTA CORP	COM	05379B107	13199	295946	SH		SOLE		295946	0	0
AVNET INC	COM	053807103	410	9059	SH		SOLE		9059	0	0
AVON PRODS INC	COM	054303102	52	13375	SH		SOLE		13375	0	0
AXA EQUITABLE HLDGS INC	COM	054561105	657	31436	SH		SOLE		31436	0	0
AXALTA COATING SYS LTD	COM	G0750C108	387	13012	SH		SOLE		13012	0	0
AXIS CAPITAL HOLDINGS LTD	SHS	G0692U109	628	10527	SH		SOLE		10527	0	0
AXON ENTERPRISE INC	COM	05464C101	518	8067	SH		SOLE		8067	0	0
AXOS FINL INC	COM	05465C100	209	7688	SH		SOLE		7688	0	0
BADGER METER INC	COM	056525108	11669	195491	SH		SOLE		195491	0	0
BAIDU INC	SPON ADR REP A	056752108	18274	155711	SH		SOLE		155711	0	0
BAKER HUGHES A GE CO	CL A	05722G100	4338	176118	SH		SOLE		176118	0	0
BALCHEM CORP	COM	057665200	432	4320	SH		SOLE		4320	0	0
BALL CORP	COM	058498106	2613	37332	SH		SOLE		37332	0	0
BANCFIRST CORP	COM	05945F103	11377	204397	SH		SOLE		204397	0	0
BANCORPSOUTH BK TUPELO MISS	COM	05971J102	835	28769	SH		SOLE		28769	0	0
BANK AMER CORP	COM	060505104	70161	2419361	SH		SOLE		2419361	0	0
BANK HAWAII CORP	COM	062540109	695	8386	SH		SOLE		8386	0	0
BANK NEW YORK MELLON CORP	COM	064058100	9311	210886	SH		SOLE		210886	0	0
BANK OF MARIN BANCORP	COM	063425102	10641	259417	SH		SOLE		259417	0	0
BANK OF NT BUTTERFIELD&SON L	SHS NEW	G0772R208	201	5924	SH		SOLE		5924	0	0
BANK OZK	COM	06417N103	12612	419158	SH		SOLE		419158	0	0
BANKUNITED INC	COM	06652K103	416	12328	SH		SOLE		12328	0	0
BANNER CORP	COM NEW	06652V208	232	4290	SH		SOLE		4290	0	0
BARNES GROUP INC	COM	067806109	374	6639	SH		SOLE		6639	0	0
BAXTER INTL INC	COM	071813109	8415	102743	SH		SOLE		102743	0	0
BB&T CORP	COM	054937107	9008	183358	SH		SOLE		183358	0	0
BEACON ROOFING SUPPLY INC	COM	073685109	278	7580	SH		SOLE		7580	0	0
BECTON DICKINSON & CO	COM	075887109	101971	404631	SH		SOLE		404631	0	0
BED BATH & BEYOND INC	COM	075896100	294	25297	SH		SOLE		25297	0	0
BEIGENE LTD	SPONSORED ADR	07725L102	1425	11500	SH		SOLE		11500	0	0
BELDEN INC	COM	077454106	454	7616	SH		SOLE		7616	0	0
BERKLEY W R CORP	COM	084423102	16404	248811	SH		SOLE		248811	0	0
BERKSHIRE HATHAWAY INC DEL	CL B NEW	084670702	107171	502747	SH		SOLE		502747	0	0
BEST BUY INC	COM	086516101	2525	36208	SH		SOLE		36208	0	0
BGC PARTNERS INC	CL A	05541T101	177	33899	SH		SOLE		33899	0	0
BIO RAD LABS INC	CL A	090572207	651	2083	SH		SOLE		2083	0	0
BIO TECHNE CORP	COM	09073M104	3123	14980	SH		SOLE		14980	0	0
BIOCRYST PHARMACEUTICALS	COM	09058V103	166	43755	SH		SOLE		43755	0	0
BIOGEN INC	COM	09062X103	42625	182259	SH		SOLE		182259	0	0
BIOMARIN PHARMACEUTICAL INC	COM	09061G101	13452	157060	SH		SOLE		157060	0	0
BIOSCRIP INC	COM	09069N108	35	13413	SH		SOLE		13413	0	0
BIOTELEMETRY INC	COM	090672106	215	4467	SH		SOLE		4467	0	0
BIOTIME INC	COM	09066L105	13	11959	SH		SOLE		11959	0	0
BJS WHSL CLUB HLDGS INC	COM	05550J101	359	13614	SH		SOLE		13614	0	0
BLACK HILLS CORP	COM	092113109	27378	350234	SH		SOLE		350234	0	0
BLACKBAUD INC	COM	09227Q100	950	11380	SH		SOLE		11380	0	0
BLACKLINE INC	COM	09239B109	209	3898	SH		SOLE		3898	0	0
BLACKROCK INC	COM	09247X101	13364	28476	SH		SOLE		28476	0	0
BLACKSTONE MTG TR INC	COM CL A	09257W100	1415	39769	SH		SOLE		39769	0	0
BLOCK H & R INC	COM	093671105	2759	94176	SH		SOLE		94176	0	0
BLOOMIN BRANDS INC	COM	094235108	225	11903	SH		SOLE		11903	0	0
BLUE APRON HLDGS INC	CL A NEW	09523Q200	131	19407	SH		SOLE		19407	0	0
BLUEBIRD BIO INC	COM	09609G100	2217	17428	SH		SOLE		17428	0	0
BLUEPRINT MEDICINES CORP	COM	09627Y109	1796	19041	SH		SOLE		19041	0	0
BOEING CO	COM	097023105	74513	204700	SH		SOLE		204700	0	0
BOK FINL CORP	COM NEW	05561Q201	296	3927	SH		SOLE		3927	0	0
BOOKING HLDGS INC	COM	09857L108	55235	29463	SH		SOLE		29463	0	0
BOOZ ALLEN HAMILTON HLDG COR	CL A	099502106	448	6764	SH		SOLE		6764	0	0
BORGWARNER INC	COM	099724106	2612	62232	SH		SOLE		62232	0	0
BOSTON BEER INC	CL A	100557107	593	1569	SH		SOLE		1569	0	0
BOSTON PRIVATE FINL HLDGS IN	COM	101119105	136	11230	SH		SOLE		11230	0	0
BOSTON PROPERTIES INC	COM	101121101	7672	59475	SH		SOLE		59475	0	0
BOSTON SCIENTIFIC CORP	COM	101137107	9308	216564	SH		SOLE		216564	0	0
BOTTOMLINE TECH DEL INC	COM	101388106	246	5560	SH		SOLE		5560	0	0
BOX INC	CL A	10316T104	235	13361	SH		SOLE		13361	0	0
BOYD GAMING CORP	COM	103304101	416	15452	SH		SOLE		15452	0	0
BRADY CORP	CL A	104674106	12260	248585	SH		SOLE		248585	0	0
BRANDYWINE RLTY TR	SH BEN INT NEW	105368203	556	38794	SH		SOLE		38794	0	0
BRIGHTHOUSE FINL INC	COM	10922N103	873	23782	SH		SOLE		23782	0	0
BRINKER INTL INC	COM	109641100	282	7154	SH		SOLE		7154	0	0
BRINKS CO	COM	109696104	773	9518	SH		SOLE		9518	0	0
BRISTOL MYERS SQUIBB CO	COM	110122108	11565	255016	SH		SOLE		255016	0	0
BRIXMOR PPTY GROUP INC	COM	11120U105	1597	89307	SH		SOLE		89307	0	0
BROADCOM INC	COM	11135F101	91060	316336	SH		SOLE		316336	0	0
BROADRIDGE FINL SOLUTIONS IN	COM	11133T103	1651	12931	SH		SOLE		12931	0	0
BROOKDALE SR LIVING INC	COM	112463104	177	24579	SH		SOLE		24579	0	0
BROOKLINE BANCORP INC DEL	COM	11373M107	164	10662	SH		SOLE		10662	0	0
BROOKS AUTOMATION INC	COM	114340102	365	9428	SH		SOLE		9428	0	0
BROWN & BROWN INC	COM	115236101	15206	453911	SH		SOLE		453911	0	0
BROWN FORMAN CORP	CL B	115637209	89318	1611369	SH		SOLE		1611369	0	0
BRUNSWICK CORP	COM	117043109	330	7195	SH		SOLE		7195	0	0
BUILDERS FIRSTSOURCE INC	COM	12008R107	203	12055	SH		SOLE		12055	0	0
C H ROBINSON WORLDWIDE INC	COM NEW	12541W209	3612	42825	SH		SOLE		42825	0	0
CABLE ONE INC	COM	12685J105	489	418	SH		SOLE		418	0	0
CABOT CORP	COM	127055101	396	8298	SH		SOLE		8298	0	0
CABOT MICROELECTRONICS CORP	COM	12709P103	423	3842	SH		SOLE		3842	0	0
CABOT OIL & GAS CORP	COM	127097103	4057	176712	SH		SOLE		176712	0	0
CACI INTL INC	CL A	127190304	1182	5779	SH		SOLE		5779	0	0
CADENCE BANCORPORATION	CL A	12739A100	265	12746	SH		SOLE		12746	0	0
CADENCE DESIGN SYSTEM INC	COM	127387108	17018	240332	SH		SOLE		240332	0	0
CAESARS ENTMT CORP	COM	127686103	585	49469	SH		SOLE		49469	0	0
CALAVO GROWERS INC	COM	128246105	13169	136129	SH		SOLE		136129	0	0
CALIFORNIA WTR SVC GROUP	COM	130788102	11380	224774	SH		SOLE		224774	0	0
CALLAWAY GOLF CO	COM	131193104	214	12493	SH		SOLE		12493	0	0
CALLON PETE CO DEL	COM	13123X102	279	42296	SH		SOLE		42296	0	0
CAMBREX CORP	COM	132011107	212	4520	SH		SOLE		4520	0	0
CAMDEN PPTY TR	SH BEN INT	133131102	3022	28953	SH		SOLE		28953	0	0
CAMPBELL SOUP CO	COM	134429109	1904	47526	SH		SOLE		47526	0	0
CANNAE HLDGS INC	COM	13765N107	212	7307	SH		SOLE		7307	0	0
CANTEL MEDICAL CORP	COM	138098108	304	3770	SH		SOLE		3770	0	0
CAPITAL ONE FINL CORP	COM	14040H105	11903	131174	SH		SOLE		131174	0	0
CAPITOL FED FINL INC	COM	14057J101	435	31607	SH		SOLE		31607	0	0
CAPRI HOLDINGS LIMITED	SHS	G1890L107	1534	44231	SH		SOLE		44231	0	0
CAPSTEAD MTG CORP	COM NO PAR	14067E506	96	11451	SH		SOLE		11451	0	0
CARA THERAPEUTICS INC	COM	140755109	324	15053	SH		SOLE		15053	0	0
CARDINAL HEALTH INC	COM	14149Y108	90461	1920618	SH		SOLE		1920618	0	0
CARETRUST REIT INC	COM	14174T107	275	11563	SH		SOLE		11563	0	0
CARGURUS INC	COM CL A	141788109	250	6913	SH		SOLE		6913	0	0
CARLISLE COS INC	COM	142339100	14690	104623	SH		SOLE		104623	0	0
CARMAX INC	COM	143130102	1615	18596	SH		SOLE		18596	0	0
CARNIVAL CORP	UNIT 99/99/9999	143658300	4526	97236	SH		SOLE		97236	0	0
CARPENTER TECHNOLOGY CORP	COM	144285103	559	11661	SH		SOLE		11661	0	0
CARRIZO OIL & GAS INC	COM	144577103	118	11738	SH		SOLE		11738	0	0
CARS COM INC	COM	14575E105	299	15142	SH		SOLE		15142	0	0
CARTERS INC	COM	146229109	364	3734	SH		SOLE		3734	0	0
CARVANA CO	CL A	146869102	215	3434	SH		SOLE		3434	0	0
CASEYS GEN STORES INC	COM	147528103	15520	99493	SH		SOLE		99493	0	0
CASS INFORMATION SYS INC	COM	14808P109	10671	220109	SH		SOLE		220109	0	0
CATALENT INC	COM	148806102	821	15140	SH		SOLE		15140	0	0
CATALYST PHARMACEUTICALS INC	COM	14888U101	39	10214	SH		SOLE		10214	0	0
CATERPILLAR INC DEL	COM	149123101	108160	793600	SH		SOLE		793600	0	0
CATHAY GEN BANCORP	COM	149150104	855	23797	SH		SOLE		23797	0	0
CBL & ASSOC PPTYS INC	COM	124830100	25	23575	SH		SOLE		23575	0	0
CBOE GLOBAL MARKETS INC	COM	12503M108	2768	26712	SH		SOLE		26712	0	0
