COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
CRISPR THERAPEUTICS AG	NAMEN AKT	H17182108	368	7820	SH		DFND		7820	0	0
CRISPR THERAPEUTICS AG	NAMEN AKT	H17182108	208	4420	SH		SOLE		4420	0	0
CRISPR THERAPEUTICS AG	NAMEN AKT	H17182108	2463	52290	SH		DFND	1,3	52290	0	0
EDITAS MEDICINE INC	COM	28106W103	277	11180	SH		DFND		11180	0	0
EDITAS MEDICINE INC	COM	28106W103	156	6310	SH		SOLE		6310	0	0
EDITAS MEDICINE INC	COM	28106W103	1849	74740	SH		DFND	1,3	74740	0	0
FACEBOOK INC	CL A	30303M102	3766	19515	SH		DFND		19515	0	0
FACEBOOK INC	CL A	30303M102	13444	69658	SH		SOLE		63723	0	5935
FACEBOOK INC	CL A	30303M102	39112	202653	SH		DFND	1,2,3,4	202653	0	0
FARFETCH LTD	ORD SH CL A	30744W107	1416	68100	SH		DFND		68100	0	0
FARFETCH LTD	ORD SH CL A	30744W107	738	35470	SH		SOLE		35470	0	0
FARFETCH LTD	ORD SH CL A	30744W107	8913	428500	SH		DFND	1,3	428500	0	0
GLOBALSTAR INC	COM	378973408	482	1003531	SH		DFND		1003531	0	0
GLOBALSTAR INC	COM	378973408	1087	2263934	SH		SOLE		2085553	0	178381
GLOBALSTAR INC	COM	378973408	4724	9841496	SH		DFND	1,2,3,4	9841496	0	0
HOMOLOGY MEDICINES INC	COM	438083107	201	10290	SH		DFND		10290	0	0
HOMOLOGY MEDICINES INC	COM	438083107	114	5800	SH		SOLE		5800	0	0
HOMOLOGY MEDICINES INC	COM	438083107	1346	68760	SH		DFND	1,3	68760	0	0
JD COM INC	SPON ADR CL A	47215P106	3171	104698	SH		DFND		104698	0	0
JD COM INC	SPON ADR CL A	47215P106	1793	59202	SH		SOLE		59202	0	0
JD COM INC	SPON ADR CL A	47215P106	21173	699020	SH		DFND	1,3	699020	0	0
LIBERTY LATIN AMERICA LTD	COM CL C	G9001E128	1720	100061	SH		DFND		100061	0	0
LIBERTY LATIN AMERICA LTD	COM CL C	G9001E128	888	51672	SH		SOLE		51672	0	0
LIBERTY LATIN AMERICA LTD	COM CL C	G9001E128	11335	659399	SH		DFND	1,3	659399	0	0
MEIRAGTX HOLDINGS PLC	COM	G59665102	418	15547	SH		DFND		15547	0	0
MEIRAGTX HOLDINGS PLC	COM	G59665102	236	8778	SH		SOLE		8778	0	0
MEIRAGTX HOLDINGS PLC	COM	G59665102	2794	103926	SH		DFND	1,3	103926	0	0
NETFLIX INC	COM	64110L106	3761	10239	SH		DFND		10239	0	0
NETFLIX INC	COM	64110L106	13207	35954	SH		SOLE		32885	0	3069
NETFLIX INC	COM	64110L106	39261	106885	SH		DFND	1,2,3,4	106885	0	0
NIKE INC	CL B	654106103	3050	36328	SH		DFND		36328	0	0
NIKE INC	CL B	654106103	1628	19390	SH		SOLE		19390	0	0
NIKE INC	CL B	654106103	20541	244678	SH		DFND	1,3	244678	0	0
PALO ALTO NETWORKS INC	COM	697435105	3421	16787	SH		DFND		16787	0	0
PALO ALTO NETWORKS INC	COM	697435105	12383	60771	SH		SOLE		55597	0	5174
PALO ALTO NETWORKS INC	COM	697435105	35818	175784	SH		DFND	1,2,3,4	175784	0	0
PAYPAL HLDGS INC	COM	70450Y103	3518	30732	SH		DFND		30732	0	0
PAYPAL HLDGS INC	COM	70450Y103	12652	110539	SH		SOLE		101134	0	9405
PAYPAL HLDGS INC	COM	70450Y103	36641	320119	SH		DFND	1,2,3,4	320119	0	0
PIVOTAL SOFTWARE INC	COM CL A	72582H107	769	72842	SH		DFND		72842	0	0
PIVOTAL SOFTWARE INC	COM CL A	72582H107	429	40599	SH		SOLE		40599	0	0
PIVOTAL SOFTWARE INC	COM CL A	72582H107	5142	486952	SH		DFND	1,3	486952	0	0
PROOFPOINT INC	COM	743424103	3090	25700	SH		DFND		25700	0	0
PROOFPOINT INC	COM	743424103	1674	13924	SH		SOLE		13924	0	0
PROOFPOINT INC	COM	743424103	21069	175211	SH		DFND	1,3	175211	0	0
PTC INC	COM	69370C100	3144	35031	SH		DFND		35031	0	0
PTC INC	COM	69370C100	1699	18927	SH		SOLE		18927	0	0
PTC INC	COM	69370C100	21396	238367	SH		DFND	1,3	238367	0	0
PVH CORP	COM	693656100	3015	31860	SH		DFND		31860	0	0
PVH CORP	COM	693656100	1706	18030	SH		SOLE		18030	0	0
PVH CORP	COM	693656100	20109	212475	SH		DFND	1,3	212475	0	0
REGENXBIO INC	COM	75901B107	263	5120	SH		DFND		5120	0	0
REGENXBIO INC	COM	75901B107	148	2880	SH		SOLE		2880	0	0
REGENXBIO INC	COM	75901B107	1756	34180	SH		DFND	1,3	34180	0	0
RH	COM	74967X103	4484	38785	SH		DFND		38785	0	0
RH	COM	74967X103	15866	137250	SH		SOLE		125740	0	11510
RH	COM	74967X103	46801	404856	SH		DFND	1,2,3,4	404856	0	0
ROKU INC	COM CL A	77543R102	2986	32970	SH		DFND		32970	0	0
ROKU INC	COM CL A	77543R102	10878	120093	SH		SOLE		109859	0	10234
ROKU INC	COM CL A	77543R102	31217	344636	SH		DFND	1,2,3,4	344636	0	0
SALESFORCE COM INC	COM	79466L302	3412	22487	SH		DFND		22487	0	0
SALESFORCE COM INC	COM	79466L302	12347	81372	SH		SOLE		74434	0	6938
SALESFORCE COM INC	COM	79466L302	35879	236464	SH		DFND	1,2,3,4	236464	0	0
SANGAMO THERAPEUTICS INC	COM	800677106	247	22960	SH		DFND		22960	0	0
SANGAMO THERAPEUTICS INC	COM	800677106	140	12960	SH		SOLE		12960	0	0
SANGAMO THERAPEUTICS INC	COM	800677106	1653	153440	SH		DFND	1,3	153440	0	0
SEA LTD	SPONSORED ADS	81141R100	2992	90077	SH		DFND		90077	0	0
SEA LTD	SPONSORED ADS	81141R100	1713	51551	SH		SOLE		51551	0	0
SEA LTD	SPONSORED ADS	81141R100	21862	658087	SH		DFND	1,3	658087	0	0
SS&C TECHNOLOGIES HLDGS INC	COM	78467J100	2758	47866	SH		DFND		47866	0	0
SS&C TECHNOLOGIES HLDGS INC	COM	78467J100	1559	27066	SH		SOLE		27066	0	0
SS&C TECHNOLOGIES HLDGS INC	COM	78467J100	18391	319241	SH		DFND	1,3	319241	0	0
TESLA INC	COM	88160R101	4022	17997	SH		DFND		17997	0	0
TESLA INC	COM	88160R101	14434	64594	SH		SOLE		59103	0	5491
TESLA INC	COM	88160R101	41875	187395	SH		DFND	1,2,3,4	187395	0	0
TYLER TECHNOLOGIES INC	COM	902252105	3471	16068	SH		DFND		16068	0	0
TYLER TECHNOLOGIES INC	COM	902252105	12559	58140	SH		SOLE		53182	0	4958
TYLER TECHNOLOGIES INC	COM	902252105	36495	168941	SH		DFND	1,2,3,4	168941	0	0
ULTA BEAUTY INC	COM	90384S303	2872	8280	SH		DFND		8280	0	0
ULTA BEAUTY INC	COM	90384S303	1623	4680	SH		SOLE		4680	0	0
ULTA BEAUTY INC	COM	90384S303	19100	55060	SH		DFND	1,3	55060	0	0
VISA INC	COM CL A	92826C839	3398	19581	SH		DFND		19581	0	0
VISA INC	COM CL A	92826C839	8629	49721	SH		SOLE		45821	0	3900
VISA INC	COM CL A	92826C839	30939	178271	SH		DFND	1,2,3,4	178271	0	0
VOYAGER THERAPEUTICS INC	COM	92915B106	375	13781	SH		DFND		13781	0	0
VOYAGER THERAPEUTICS INC	COM	92915B106	212	7786	SH		SOLE		7786	0	0
VOYAGER THERAPEUTICS INC	COM	92915B106	2508	92131	SH		DFND	1,3	92131	0	0
WORLDPAY INC	CL A	981558109	1758	14347	SH		DFND		14347	0	0
WORLDPAY INC	CL A	981558109	995	8117	SH		SOLE		8117	0	0
WORLDPAY INC	CL A	981558109	11724	95669	SH		DFND	1,3	95669	0	0
