COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
ACTIVISION BLIZZARD INC 	COM	00507V109	5697	120700	SH	Call	DFND	01, 02	120700	0	0
ACTIVISION BLIZZARD INC 	COM	00507V109	41777	885100	SH	Put	DFND	01, 02	885100	0	0
ACTUANT CORP	CL A NEW	00508X203	248	10000	SH	Call	DFND	01, 02	10000	0	0
ACUITY BRANDS INC	COM	00508Y102	893	6476	SH		DFND	01, 02	6476	0	0
ACUITY BRANDS INC	COM	00508Y102	2207	16000	SH	Call	DFND	01, 02	16000	0	0
ACUITY BRANDS INC	COM	00508Y102	14219	103100	SH	Put	DFND	01, 02	103100	0	0
ADDUS HOMECARE CORP 	COM	006739106	247	3300	SH	Call	DFND	01, 02	3300	0	0
ADECOAGRO S A	COM	L00849106	319	44729	SH		DFND	01, 02	44729	0	0
ADIENT PLC 	ORD SHS	G0084W101	1822	75067	SH		DFND	01, 02	75067	0	0
ADIENT PLC 	ORD SHS	G0084W101	53	2200	SH	Call	DFND	01, 02	2200	0	0
ADIENT PLC 	ORD SHS	G0084W101	1075	44300	SH	Put	DFND	01, 02	44300	0	0
ADOBE INC	COM	00724F101	5584	18950	SH		DFND	01, 02	18950	0	0
ADOBE INC	COM	00724F101	35181	119400	SH	Call	DFND	01, 02	119400	0	0
ADOBE INC	COM	00724F101	71364	242200	SH	Put	DFND	01, 02	242200	0	0
ADT INC 	COM	00090Q103	394	64333	SH		DFND	01, 02	64333	0	0
ADT INC 	COM	00090Q103	2448	400000	SH	Put	DFND	01, 02	400000	0	0
ADTRAN INC 	COM	00738A106	375	24600	SH	Call	DFND	01, 02	24600	0	0
ADTRAN INC 	COM	00738A106	419	27500	SH	Put	DFND	01, 02	27500	0	0
ADVANCE AUTO PARTS INC 	COM	00751Y106	6649	43135	SH		DFND	01, 02	43135	0	0
ADVANCE AUTO PARTS INC 	COM	00751Y106	231	1500	SH	Call	DFND	01, 02	1500	0	0
ADVANCE AUTO PARTS INC 	COM	00751Y106	324	2100	SH	Put	DFND	01, 02	2100	0	0
ADVANCED ENERGY INDS 	COM	007973100	31	552	SH		DFND	01, 02	552	0	0
ADVANCED ENERGY INDS 	COM	007973100	321	5700	SH	Call	DFND	01, 02	5700	0	0
ADVANCED ENERGY INDS 	COM	007973100	782	13900	SH	Put	DFND	01, 02	13900	0	0
ADVANCED MICRO DEVICES INC 	COM	007903107	5760	189647	SH		DFND	01, 02	189647	0	0
ADVANCED MICRO DEVICES INC 	COM	007903107	31448	1035500	SH	Call	DFND	01, 02	1035500	0	0
ADVANCED MICRO DEVICES INC 	COM	007903107	72773	2396200	SH	Put	DFND	01, 02	2396200	0	0
AECOM 	COM	00766T100	19	510	SH		DFND	01, 02	510	0	0
AECOM 	COM	00766T100	757	20000	SH	Put	DFND	01, 02	20000	0	0
AEGION CORP 	COM	00770F104	136	7400	SH	Call	DFND	01, 02	7400	0	0
AEGION CORP 	COM	00770F104	86	4700	SH	Put	DFND	01, 02	4700	0	0
AEGON N V	NY REGISTRY SH	007924103	1000	202000	SH	Call	DFND	01, 02	202000	0	0
AERCAP HOLDINGS NV 	SHS	N00985106	1482	28500	SH	Call	DFND	01, 02	28500	0	0
AERCAP HOLDINGS NV 	SHS	N00985106	8732	167900	SH	Put	DFND	01, 02	167900	0	0
AEROVIRONMENT INC 	COM	008073108	1347	23730	SH		DFND	01, 02	23730	0	0
AEROVIRONMENT INC 	COM	008073108	45	800	SH	Put	DFND	01, 02	800	0	0
AES CORP	COM	00130H105	349	20800	SH	Call	DFND	01, 02	20800	0	0
AES CORP	COM	00130H105	2	100	SH	Put	DFND	01, 02	100	0	0
AFLAC INC 	COM	001055102	2888	52700	SH	Call	DFND	01, 02	52700	0	0
AFLAC INC 	COM	001055102	477	8700	SH	Put	DFND	01, 02	8700	0	0
AGCO CORP 	COM	001084102	307	3957	SH		DFND	01, 02	3957	0	0
AGCO CORP 	COM	001084102	271	3500	SH	Call	DFND	01, 02	3500	0	0
AGILENT TECHNOLOGIES INC 	COM	00846U101	3570	47804	SH		DFND	01, 02	47804	0	0
AGILENT TECHNOLOGIES INC 	COM	00846U101	2897	38800	SH	Call	DFND	01, 02	38800	0	0
AGILENT TECHNOLOGIES INC 	COM	00846U101	4644	62200	SH	Put	DFND	01, 02	62200	0	0
AGNC INVT CORP 	COM	00123Q104	2050	121900	SH	Call	DFND	01, 02	121900	0	0
AGNC INVT CORP 	COM	00123Q104	251	14900	SH	Put	DFND	01, 02	14900	0	0
AGNICO EAGLE MINES LTD 	COM	008474108	6282	122600	SH	Call	DFND	01, 02	122600	0	0
AGNICO EAGLE MINES LTD 	COM	008474108	14696	286800	SH	Put	DFND	01, 02	286800	0	0
AGREE REALTY CORP 	COM	008492100	269	4200	SH	Call	DFND	01, 02	4200	0	0
AIR PRODS & CHEMS INC	COM	009158106	19083	84300	SH	Call	DFND	01, 02	84300	0	0
AIR PRODS & CHEMS INC	COM	009158106	2943	13000	SH	Put	DFND	01, 02	13000	0	0
AIR TRANSPORT SERVICES GRP I 	COM	00922R105	205	8400	SH	Call	DFND	01, 02	8400	0	0
AKAMAI TECHNOLOGIES INC 	COM	00971T101	1292	16118	SH		DFND	01, 02	16118	0	0
AKAMAI TECHNOLOGIES INC 	COM	00971T101	409	5100	SH	Call	DFND	01, 02	5100	0	0
AKAMAI TECHNOLOGIES INC 	COM	00971T101	5009	62500	SH	Put	DFND	01, 02	62500	0	0
ALAMOS GOLD INC NEW 	COM CL A	011532108	322	53236	SH		DFND	01, 02	53236	0	0
ALAMOS GOLD INC NEW 	COM CL A	011532108	88	14600	SH	Call	DFND	01, 02	14600	0	0
ALAMOS GOLD INC NEW 	COM CL A	011532108	1634	270100	SH	Put	DFND	01, 02	270100	0	0
ALARM COM HLDGS INC 	COM	011642105	1990	37200	SH	Call	DFND	01, 02	37200	0	0
ALASKA AIR GROUP INC 	COM	011659109	3929	61480	SH		DFND	01, 02	61480	0	0
ALASKA AIR GROUP INC 	COM	011659109	2556	40000	SH	Call	DFND	01, 02	40000	0	0
ALASKA AIR GROUP INC 	COM	011659109	8820	138000	SH	Put	DFND	01, 02	138000	0	0
ALBEMARLE CORP 	COM	012653101	5366	76206	SH		DFND	01, 02	76206	0	0
ALBEMARLE CORP 	COM	012653101	14	200	SH	Call	DFND	01, 02	200	0	0
ALBEMARLE CORP 	COM	012653101	10674	151600	SH	Put	DFND	01, 02	151600	0	0
ALCOA CORP 	COM	013872106	1022	43665	SH		DFND	01, 02	43665	0	0
ALCOA CORP 	COM	013872106	323	13800	SH	Call	DFND	01, 02	13800	0	0
ALCOA CORP 	COM	013872106	2460	105100	SH	Put	DFND	01, 02	105100	0	0
ALEXION PHARMACEUTICALS INC 	COM	015351109	1596	12183	SH		DFND	01, 02	12183	0	0
ALEXION PHARMACEUTICALS INC 	COM	015351109	17289	132000	SH	Call	DFND	01, 02	132000	0	0
ALEXION PHARMACEUTICALS INC 	COM	015351109	11893	90800	SH	Put	DFND	01, 02	90800	0	0
ALIBABA GROUP HLDG LTD 	SPONSORED ADS	01609W102	16033	94615	SH		DFND	01, 02	94615	0	0
ALIBABA GROUP HLDG LTD 	SPONSORED ADS	01609W102	22130	130600	SH	Call	DFND	01, 02	130600	0	0
ALIBABA GROUP HLDG LTD 	SPONSORED ADS	01609W102	107397	633800	SH	Put	DFND	01, 02	633800	0	0
ALIGN TECHNOLOGY INC 	COM	016255101	4841	17689	SH		DFND	01, 02	17689	0	0
ALIGN TECHNOLOGY INC 	COM	016255101	6240	22800	SH	Call	DFND	01, 02	22800	0	0
ALIGN TECHNOLOGY INC 	COM	016255101	12070	44100	SH	Put	DFND	01, 02	44100	0	0
ALKERMES PLC 	SHS	G01767105	1885	83612	SH		DFND	01, 02	83612	0	0
ALKERMES PLC 	SHS	G01767105	2254	100000	SH	Put	DFND	01, 02	100000	0	0
ALLEGHENY TECHNOLOGIES INC 	COM	01741R102	5597	222100	SH	Call	DFND	01, 02	222100	0	0
ALLEGHENY TECHNOLOGIES INC 	COM	01741R102	1373	54500	SH	Put	DFND	01, 02	54500	0	0
ALLEGIANT TRAVEL CO 	COM	01748X102	890	6200	SH	Call	DFND	01, 02	6200	0	0
ALLEGIANT TRAVEL CO 	COM	01748X102	7175	50000	SH	Put	DFND	01, 02	50000	0	0
ALLEGION PUB LTD CO 	ORD SHS	G0176J109	840	7600	SH	Call	DFND	01, 02	7600	0	0
ALLEGION PUB LTD CO 	ORD SHS	G0176J109	1658	15000	SH	Put	DFND	01, 02	15000	0	0
ALLERGAN PLC 	SHS	G0177J108	6879	41087	SH		DFND	01, 02	41087	0	0
ALLERGAN PLC 	SHS	G0177J108	3365	20100	SH	Call	DFND	01, 02	20100	0	0
ALLERGAN PLC 	SHS	G0177J108	19054	113800	SH	Put	DFND	01, 02	113800	0	0
ALLIANCE RES PARTNER L P 	UT LTD PART	01877R108	100	5861	SH		DFND	01, 02	5861	0	0
ALLIANCE RES PARTNER L P 	UT LTD PART	01877R108	14	800	SH	Call	DFND	01, 02	800	0	0
ALLIANCE RES PARTNER L P 	UT LTD PART	01877R108	114	6700	SH	Put	DFND	01, 02	6700	0	0
ALLIANCEBERNSTEIN HOLDING LP 	UNIT LTD PARTN	01881G106	270	9100	SH	Call	DFND	01, 02	9100	0	0
ALLIANT ENERGY CORP	COM	018802108	40	815	SH		DFND	01, 02	815	0	0
ALLIANT ENERGY CORP	COM	018802108	290	5900	SH	Call	DFND	01, 02	5900	0	0
ALLIANT ENERGY CORP	COM	018802108	1021	20800	SH	Put	DFND	01, 02	20800	0	0
ALLISON TRANSMISSION HLDGS I 	COM	01973R101	519	11200	SH	Call	DFND	01, 02	11200	0	0
ALLSTATE CORP 	COM	020002101	1149	11300	SH	Call	DFND	01, 02	11300	0	0
ALLSTATE CORP 	COM	020002101	2430	23900	SH	Put	DFND	01, 02	23900	0	0
ALLY FINL INC	COM	02005N100	28079	906051	SH		DFND	01, 02	906051	0	0
ALLY FINL INC	COM	02005N100	3570	115200	SH	Call	DFND	01, 02	115200	0	0
ALLY FINL INC	COM	02005N100	6356	205100	SH	Put	DFND	01, 02	205100	0	0
ALNYLAM PHARMACEUTICALS INC 	COM	02043Q107	390	5370	SH		DFND	01, 02	5370	0	0
ALNYLAM PHARMACEUTICALS INC 	COM	02043Q107	943	13000	SH	Put	DFND	01, 02	13000	0	0
ALPHABET INC	CAP STK CL A	02079K305	1841	1700	SH	Call	DFND	01, 02	1700	0	0
ALPHABET INC	CAP STK CL A	02079K305	11369	10500	SH	Put	DFND	01, 02	10500	0	0
ALPHABET INC 	CAP STK CL C	02079K107	1731	1601	SH		DFND	01, 02	1601	0	0
ALPHABET INC	CAP STK CL C	02079K107	649	600	SH	Call	DFND	01, 02	600	0	0
ALPHABET INC	CAP STK CL C	02079K107	5513	5100	SH	Put	DFND	01, 02	5100	0	0
ALTABA INC 	COM	021346101	394	5681	SH		DFND	01, 02	5681	0	0
ALTABA INC 	COM	021346101	37106	534900	SH	Call	DFND	01, 02	534900	0	0
ALTABA INC 	COM	021346101	1394	20100	SH	Put	DFND	01, 02	20100	0	0
ALTERYX INC 	COM CL A	02156B103	3699	33900	SH	Call	DFND	01, 02	33900	0	0
ALTERYX INC 	COM CL A	02156B103	1921	17600	SH	Put	DFND	01, 02	17600	0	0
ALTRA INDL MOTION CORP	COM	02208R106	542	15100	SH	Call	DFND	01, 02	15100	0	0
ALTRA INDL MOTION CORP	COM	02208R106	208	5800	SH	Put	DFND	01, 02	5800	0	0
ALTRIA GROUP INC 	COM	02209S103	1458	30800	SH	Put	DFND	01, 02	30800	0	0
ALUMINUM CORP CHINA LTD 	SPON ADR H SHS	022276109	30	3443	SH		DFND	01, 02	3443	0	0
ALUMINUM CORP CHINA LTD 	SPON ADR H SHS	022276109	222	25200	SH	Put	DFND	01, 02	25200	0	0
AMAZON COM INC 	COM	023135106	81426	43000	SH		DFND	01, 02	43000	0	0
AMAZON COM INC 	COM	023135106	46962	24800	SH	Call	DFND	01, 02	24800	0	0
AMAZON COM INC 	COM	023135106	225910	119300	SH	Put	DFND	01, 02	119300	0	0
AMBAC FINL GROUP INC 	COM NEW	023139884	313	18597	SH		DFND	01, 02	18597	0	0
AMBARELLA INC 	SHS	G037AX101	550	12464	SH		DFND	01, 02	12464	0	0
AMBARELLA INC 	SHS	G037AX101	1474	33400	SH	Call	DFND	01, 02	33400	0	0
AMBARELLA INC 	SHS	G037AX101	3345	75800	SH	Put	DFND	01, 02	75800	0	0
AMBEV SA	SPONSORED ADR	02319V103	61	13135	SH		DFND	01, 02	13135	0	0
AMC ENTMT HLDGS INC	CL A COM	00165C104	2193	235061	SH		DFND	01, 02	235061	0	0
AMC ENTMT HLDGS INC	CL A COM	00165C104	113	12100	SH	Call	DFND	01, 02	12100	0	0
AMC ENTMT HLDGS INC	CL A COM	00165C104	7833	839500	SH	Put	DFND	01, 02	839500	0	0
AMEDISYS INC 	COM	023436108	2243	18477	SH		DFND	01, 02	18477	0	0
AMEDISYS INC 	COM	023436108	425	3500	SH	Call	DFND	01, 02	3500	0	0
AMEDISYS INC 	COM	023436108	10538	86800	SH	Put	DFND	01, 02	86800	0	0
AMERICAN AIRLS GROUP INC 	COM	02376R102	4608	141304	SH		DFND	01, 02	141304	0	0
AMERICAN AIRLS GROUP INC 	COM	02376R102	72	2200	SH	Call	DFND	01, 02	2200	0	0
AMERICAN AIRLS GROUP INC 	COM	02376R102	29985	919500	SH	Put	DFND	01, 02	919500	0	0
AMERICAN ASSETS TR INC 	COM	024013104	777	16500	SH	Call	DFND	01, 02	16500	0	0
AMERICAN AXLE & MFG HLDGS IN 	COM	024061103	159	12489	SH		DFND	01, 02	12489	0	0
AMERICAN AXLE & MFG HLDGS IN 	COM	024061103	672	52700	SH	Call	DFND	01, 02	52700	0	0
AMERICAN AXLE & MFG HLDGS IN 	COM	024061103	568	44500	SH	Put	DFND	01, 02	44500	0	0
AMERICAN EAGLE OUTFITTERS IN 	COM	02553E106	1284	76000	SH	Call	DFND	01, 02	76000	0	0
AMERICAN ELEC PWR CO INC 	COM	025537101	3538	40200	SH	Call	DFND	01, 02	40200	0	0
AMERICAN ELEC PWR CO INC 	COM	025537101	405	4600	SH	Put	DFND	01, 02	4600	0	0
AMERICAN EXPRESS CO	COM	025816109	1123	9100	SH	Call	DFND	01, 02	9100	0	0
AMERICAN FINL GROUP INC OHIO 	COM	025932104	889	8677	SH		DFND	01, 02	8677	0	0
AMERICAN INTL GROUP INC 	COM NEW	026874784	3527	66196	SH		DFND	01, 02	66196	0	0
AMERICAN INTL GROUP INC 	COM NEW	026874784	10853	203700	SH	Call	DFND	01, 02	203700	0	0
AMERICAN INTL GROUP INC 	COM NEW	026874784	12238	229700	SH	Put	DFND	01, 02	229700	0	0
AMERICAN OUTDOOR BRANDS CORP	COM	02874P103	108	12000	SH	Call	DFND	01, 02	12000	0	0
AMERICAN OUTDOOR BRANDS CORP	COM	02874P103	496	55000	SH	Put	DFND	01, 02	55000	0	0
AMERICAN STS WTR CO 	COM	029899101	712	9460	SH		DFND	01, 02	9460	0	0
AMERICAN STS WTR CO 	COM	029899101	75	1000	SH	Call	DFND	01, 02	1000	0	0
AMERICAN STS WTR CO 	COM	029899101	38	500	SH	Put	DFND	01, 02	500	0	0
AMERICAN TOWER CORP NEW 	COM	03027X100	1715	8390	SH		DFND	01, 02	8390	0	0
AMERICAN TOWER CORP NEW 	COM	03027X100	16724	81800	SH	Call	DFND	01, 02	81800	0	0
AMERICAN TOWER CORP NEW 	COM	03027X100	3251	15900	SH	Put	DFND	01, 02	15900	0	0
AMERICAN WTR WKS CO INC NEW 	COM	030420103	2100	18100	SH	Call	DFND	01, 02	18100	0	0
AMERICAN WTR WKS CO INC NEW 	COM	030420103	232	2000	SH	Put	DFND	01, 02	2000	0	0
AMERIPRISE FINL INC 	COM	03076C106	8757	60329	SH		DFND	01, 02	60329	0	0
AMERIPRISE FINL INC 	COM	03076C106	1582	10900	SH	Call	DFND	01, 02	10900	0	0
AMERIPRISE FINL INC 	COM	03076C106	131	900	SH	Put	DFND	01, 02	900	0	0
AMERIS BANCORP 	COM	03076K108	353	9000	SH	Call	DFND	01, 02	9000	0	0
AMERIS BANCORP 	COM	03076K108	43	1100	SH	Put	DFND	01, 02	1100	0	0
AMERISOURCEBERGEN CORP 	COM	03073E105	58	678	SH		DFND	01, 02	678	0	0
AMERISOURCEBERGEN CORP 	COM	03073E105	247	2900	SH	Call	DFND	01, 02	2900	0	0
AMERISOURCEBERGEN CORP 	COM	03073E105	1347	15800	SH	Put	DFND	01, 02	15800	0	0
AMGEN INC 	COM	031162100	8403	45600	SH	Call	DFND	01, 02	45600	0	0
AMGEN INC 	COM	031162100	4202	22800	SH	Put	DFND	01, 02	22800	0	0
AMN HEALTHCARE SERVICES INC 	COM	001744101	213	3930	SH		DFND	01, 02	3930	0	0
AMPHENOL CORP NEW 	CL A	032095101	205	2141	SH		DFND	01, 02	2141	0	0
AMPHENOL CORP NEW 	CL A	032095101	2456	25600	SH	Call	DFND	01, 02	25600	0	0
AMPHENOL CORP NEW 	CL A	032095101	499	5200	SH	Put	DFND	01, 02	5200	0	0
ANADARKO PETE CORP 	COM	032511107	574	8137	SH		DFND	01, 02	8137	0	0
ANADARKO PETE CORP 	COM	032511107	4996	70800	SH	Call	DFND	01, 02	70800	0	0
ANADARKO PETE CORP 	COM	032511107	289	4100	SH	Put	DFND	01, 02	4100	0	0
ANALOG DEVICES INC 	COM	032654105	17969	159200	SH	Call	DFND	01, 02	159200	0	0
ANALOG DEVICES INC 	COM	032654105	6953	61600	SH	Put	DFND	01, 02	61600	0	0
ANDEAVOR LOGISTICS LP 	COM UNIT LP INT	03350F106	46	1267	SH		DFND	01, 02	1267	0	0
ANDEAVOR LOGISTICS LP 	COM UNIT LP INT	03350F106	182	5000	SH	Put	DFND	01, 02	5000	0	0
ANGLOGOLD ASHANTI LTD	SPONSORED ADR	035128206	9901	555900	SH	Call	DFND	01, 02	555900	0	0
ANGLOGOLD ASHANTI LTD	SPONSORED ADR	035128206	8387	470900	SH	Put	DFND	01, 02	470900	0	0
ANHEUSER BUSCH INBEV SA/NV 	SPONSORED ADR	03524A108	3647	41200	SH	Call	DFND	01, 02	41200	0	0
ANI PHARMACEUTICALS INC 	COM	00182C103	247	3000	SH	Call	DFND	01, 02	3000	0	0
ANIXTER INTL INC 	COM	035290105	421	7044	SH		DFND	01, 02	7044	0	0
ANIXTER INTL INC 	COM	035290105	113	1900	SH	Call	DFND	01, 02	1900	0	0
ANIXTER INTL INC 	COM	035290105	1493	25000	SH	Put	DFND	01, 02	25000	0	0
ANNALY CAP MGMT INC 	COM	035710409	931	102025	SH		DFND	01, 02	102025	0	0
ANNALY CAP MGMT INC 	COM	035710409	1445	158300	SH	Put	DFND	01, 02	158300	0	0
ANSYS INC 	COM	03662Q105	2622	12800	SH	Call	DFND	01, 02	12800	0	0
ANSYS INC 	COM	03662Q105	594	2900	SH	Put	DFND	01, 02	2900	0	0
ANTERO MIDSTREAM CORP	COM	03676B102	518	45218	SH		DFND	01, 02	45218	0	0
ANTERO RES CORP 	COM	03674X106	948	171517	SH		DFND	01, 02	171517	0	0
ANTERO RES CORP 	COM	03674X106	1171	211700	SH	Put	DFND	01, 02	211700	0	0
ANTHEM INC 	COM	036752103	17366	61536	SH		DFND	01, 02	61536	0	0
ANTHEM INC 	COM	036752103	1411	5000	SH	Call	DFND	01, 02	5000	0	0
ANTHEM INC 	COM	036752103	5785	20500	SH	Put	DFND	01, 02	20500	0	0
AON PLC 	SHS CL A	G0408V102	8916	46200	SH	Call	DFND	01, 02	46200	0	0
APACHE CORP 	COM	037411105	775	26755	SH		DFND	01, 02	26755	0	0
APACHE CORP 	COM	037411105	817	28200	SH	Call	DFND	01, 02	28200	0	0
APACHE CORP 	COM	037411105	1796	62000	SH	Put	DFND	01, 02	62000	0	0
APOLLO GLOBAL MGMT LLC 	CL A SHS	037612306	1310	38200	SH		DFND	01, 02	38200	0	0
APOLLO GLOBAL MGMT LLC 	CL A SHS	037612306	8019	233800	SH	Call	DFND	01, 02	233800	0	0
APOLLO GLOBAL MGMT LLC 	CL A SHS	037612306	8095	236000	SH	Put	DFND	01, 02	236000	0	0
APPFOLIO INC 	COM CL A	03783C100	450	4400	SH	Call	DFND	01, 02	4400	0	0
APPFOLIO INC 	COM CL A	03783C100	256	2500	SH	Put	DFND	01, 02	2500	0	0
APPIAN CORP 	CL A	03782L101	172	4763	SH		DFND	01, 02	4763	0	0
APPIAN CORP 	CL A	03782L101	2698	74800	SH	Call	DFND	01, 02	74800	0	0
APPIAN CORP 	CL A	03782L101	3928	108900	SH	Put	DFND	01, 02	108900	0	0
APPLE HOSPITALITY REIT INC 	COM NEW	03784Y200	219	13778	SH		DFND	01, 02	13778	0	0
APPLE INC 	COM	037833100	7584	38318	SH		DFND	01, 02	38318	0	0
APPLE INC 	COM	037833100	28500	144000	SH	Call	DFND	01, 02	144000	0	0
APPLE INC 	COM	037833100	53102	268300	SH	Put	DFND	01, 02	268300	0	0
APPLIED INDL TECHNOLOGIES IN	COM	03820C105	42	686	SH		DFND	01, 02	686	0	0
APPLIED INDL TECHNOLOGIES IN	COM	03820C105	197	3200	SH	Put	DFND	01, 02	3200	0	0
APPLIED MATLS INC 	COM	038222105	5708	127100	SH	Call	DFND	01, 02	127100	0	0
APPLIED MATLS INC 	COM	038222105	4612	102700	SH	Put	DFND	01, 02	102700	0	0
APTARGROUP INC 	COM	038336103	945	7600	SH	Call	DFND	01, 02	7600	0	0
APTIV PLC 	SHS	G6095L109	258	3195	SH		DFND	01, 02	3195	0	0
APTIV PLC 	SHS	G6095L109	2005	24800	SH	Call	DFND	01, 02	24800	0	0
APTIV PLC 	SHS	G6095L109	11009	136200	SH	Put	DFND	01, 02	136200	0	0
AQUA AMERICA INC 	COM	03836W103	376	9100	SH	Call	DFND	01, 02	9100	0	0
AQUA AMERICA INC 	COM	03836W103	616	14900	SH	Put	DFND	01, 02	14900	0	0
ARAMARK 	COM	03852U106	4884	135446	SH		DFND	01, 02	135446	0	0
ARAMARK 	COM	03852U106	577	16000	SH	Call	DFND	01, 02	16000	0	0
ARAMARK 	COM	03852U106	339	9400	SH	Put	DFND	01, 02	9400	0	0
ARBOR RLTY TR INC 	COM	038923108	484	39900	SH	Call	DFND	01, 02	39900	0	0
ARBOR RLTY TR INC 	COM	038923108	221	18200	SH	Put	DFND	01, 02	18200	0	0
ARCBEST CORP 	COM	03937C105	105	3723	SH		DFND	01, 02	3723	0	0
ARCBEST CORP 	COM	03937C105	112	4000	SH	Call	DFND	01, 02	4000	0	0
ARCELORMITTAL SA LUXEMBOURG 	NY REGISTRY SH	03938L203	1917	106343	SH		DFND	01, 02	106343	0	0
ARCELORMITTAL SA LUXEMBOURG 	NY REGISTRY SH	03938L203	1944	107800	SH	Call	DFND	01, 02	107800	0	0
ARCELORMITTAL SA LUXEMBOURG 	NY REGISTRY SH	03938L203	19061	1057200	SH	Put	DFND	01, 02	1057200	0	0
ARCH COAL INC 	CL A	039380407	628	6664	SH		DFND	01, 02	6664	0	0
ARCH COAL INC 	CL A	039380407	311	3300	SH	Call	DFND	01, 02	3300	0	0
ARCHER DANIELS MIDLAND CO	COM	039483102	143	3508	SH		DFND	01, 02	3508	0	0
ARCHER DANIELS MIDLAND CO	COM	039483102	857	21000	SH	Call	DFND	01, 02	21000	0	0
ARCHER DANIELS MIDLAND CO	COM	039483102	1787	43800	SH	Put	DFND	01, 02	43800	0	0
ARCONIC INC	COM	03965L100	3961	153400	SH	Call	DFND	01, 02	153400	0	0
ARCONIC INC	COM	03965L100	214	8300	SH	Put	DFND	01, 02	8300	0	0
ARCOS DORADOS HOLDINGS INC 	SHS CLASS -A -	G0457F107	62	8534	SH		DFND	01, 02	8534	0	0
